Advantage Oil & Gas Ltd.,AAV,
Aecon Group Inc.,ARE,
AG Growth International Inc.,AFN,
Agnico Eagle Mines Limited,AEM,Oil & Gas
Agrium Inc.,AGU,Diversified Industries
Aimia Inc.,AIM,Diversified Industries
Air Canada,AC,Mining
Alamos Gold Inc.,AGI,Mining
Algonquin Power & Utilities Corp.,AQN,Diversified Industries
Alimentation Couche-Tard Inc.,ATD.B,Diversified Industries
Allied Properties Real Estate Investment Trust,AP.UN,Mining
AltaGas Ltd.,ALA,Clean Technology
Altus Group Limited,AIF,Diversified Industries
Amaya Inc.,AYA,Real Estate
ARC Resources Ltd.,ARX,Diversified Industries
Artis Real Estate Investment Trust,AX.UN,Diversified Industries
Atco Ltd.,ACO.X,Technology
B2Gold Corp.,BTO,Oil & Gas
Badger Daylighting Ltd.,BAD,Real Estate
Bank of Montreal,BMO,Utilities & Pipelines
Bank of Nova Scotia (The),BNS,Mining
Barrick Gold Corporation,ABX,Diversified Industries
Baytex Energy Corp.,BTE,Financial Services
BCE Inc.,BCE,Financial Services
Birchcliff Energy Ltd.,BIR,Mining
BlackBerry Limited,BB,Oil & Gas
BMO Aggregate Bond Index ETF,ZAG,Comm & Media
BMO Covered Call Canadian Banks ETF,ZWB,Oil & Gas
BMO High Yield US Corporate Bond Hedged to CAD Index ETF,ZHY,Technology
BMO Laddered Preferred Share Index ETF,ZPR,ETP
BMO Low Volatility Canadian Equity ETF,ZLB,ETP
BMO Mid Corporate Bond Index ETF,ZCM,ETP
BMO Mid-Term US IG Corporate Bond Index ETF,ZIC,ETP
BMO MSCI EAFE Index ETF,ZEA,ETP
BMO S&P 500 Hedged to CAD Index ETF,ZUE,ETP
BMO S&P 500 Index ETF,ZSP,ETP
BMO S&P/TSX Capped Composite Index ETF,ZCN,ETP
BMO Short Corporate Bond Index ETF,ZCS,ETP
BMO US Dividend ETF,ZDY,ETP
Boardwalk Real Estate Investment Trust,BEI.UN,ETP
Bombardier Inc.,BBD.B,ETP
Bonavista Energy Corporation,BNP,ETP
Boralex Inc.,BLX,Real Estate
Boyd Group Income Fund,BYD.UN,Diversified Industries
Brookfield Asset Management Inc.,BAM.A,Oil & Gas
Brookfield Business Partners L.P.,BBU.UN,Clean Technology
Brookfield Infrastructure Partners L.P.,BIP.UN,Diversified Industries
Brookfield Office Properties Inc.,BPO.PR.A,Financial Services
Brookfield Property Partners L.P.,BPY.UN,Real Estate
Brookfield Renewable Partners L.P.,BEP.UN,Diversified Industries
CAE Inc.,CAE,Real Estate
Cameco Corporation,CCO,Real Estate
Canadian Apartment Properties Real Estate Investment Trust,CAR.UN,Clean Technology
Canadian Energy Services & Technology Corp.,CEU,Technology
Canadian Imperial Bank Of Commerce,CM,Mining
Canadian National Railway Company,CNR,Real Estate
Canadian Natural Resources Limited,CNQ,Diversified Industries
Canadian Pacific Railway Limited,CP,Financial Services
Canadian Real Estate Investment Trust,REF.UN,Diversified Industries
Canadian Tire Corporation Limited,CTC.A,Oil & Gas
Canadian Utilities Limited,CU,Diversified Industries
Canadian Western Bank,CWB,Real Estate
Canfor Corporation,CFP,Diversified Industries
Canoe EIT Income Fund,EIT.UN,Utilities & Pipelines
Canopy Growth Corporation,CGC,Financial Services
Capital Power Corporation,CPX,Forest Products & Paper
Cascades Inc.,CAS,Closed-End Funds
CCL Industries Inc.,CCL.B,Life Sciences
Celestica Inc.,CLS,Utilities & Pipelines
Cenovus Energy Inc.,CVE,Clean Technology
Centamin plc,CEE,Diversified Industries
Centerra Gold Inc.,CG,Technology
Central Fund of Canada Limited,CEF.A,Oil & Gas
CGI Group Inc.,GIB.A,Mining
Chartwell Retirement Residences,CSH.UN,Mining
Chemtrade Logistics Income Fund,CHE.UN,Closed-End Funds
China Gold International Resources Corp. Ltd.,CGG,Technology
Choice Properties Real Estate Investment Trust,CHP.UN,Real Estate
CI Financial Corp.,CIX,Diversified Industries
Cineplex Inc.,CGX,Mining
CNOOC Limited,CNU,Real Estate
Cogeco Communications Inc.,CCA,Financial Services
Colliers International Group Inc.,CIGI,Comm & Media
Cominar Real Estate Investment Trust,CUF.UN,Oil & Gas
Constellation Software Inc.,CSU,Comm & Media
Corus Entertainment Inc.,CJR.B,Real Estate
Cott Corporation,BCB,Real Estate
Crescent Point Energy Corp.,CPG,Technology
Crew Energy Inc.,CR,Comm & Media
Crombie Real Estate Investment Trust,CRR.UN,Diversified Industries
CT Real Estate Investment Trust,CRT.UN,Oil & Gas
Descartes Systems Group Inc. (The),DSG,Oil & Gas
Detour Gold Corporation,DGC,Real Estate
DH Corporation,DH,Real Estate
Dollarama Inc.,DOL,Technology
Dominion Diamond Corporation,DDC,Mining
Domtar Corporation,UFS,Technology
Dorel Industries Inc.,DII.B,Diversified Industries
Dream Global Real Estate Investment Trust,DRG.UN,Mining
Dream Office Real Estate Investment Trust,D.UN,Forest Products & Paper
