Ex.,Name,Ticker,QMV($),HQ Region,HQ Location,Sector,Sub Sector
TSX,Advantage Oil & Gas Ltd.,AAV,1798451563,Canada,AB,Oil & Gas,
TSX,Aecon Group Inc.,ARE,1076553468.7,Canada,ON,Diversified Industries,Industrial Products and Services
TSX,AG Growth International Inc.,AFN,1025729398,Canada,MB,Diversified Industries,"Industrial Products and Services,Agriculture"
TSX,Agnico Eagle Mines Limited,AEM,12434628828,Canada,ON,Mining,
TSX,Agrium Inc.,AGU,18707567406,Canada,AB,Mining,Agriculture
TSX,Aimia Inc.,AIM,1444923385.05,Canada,QC,Diversified Industries,Consumer Products and Services
TSX,Air Canada,AC,3682820250,Canada,QC,Diversified Industries,Industrial Products and Services
TSX,Alamos Gold Inc.,AGI,2283231424,Canada,ON,Mining,
TSX,Algonquin Power & Utilities Corp.,AQN,3269779851,Canada,ON,Clean Technology,Renewable Energy Production and Distribution
TSX,Alimentation Couche-Tard Inc.,ATD.B,35352195454,Canada,QC,Diversified Industries,Consumer Products and Services
TSX,Allied Properties Real Estate Investment Trust,AP.UN,2871026223,Canada,ON,Real Estate,Industrial/Office/Retail/Residential
TSX,AltaGas Ltd.,ALA,6277097777.6,Canada,AB,Diversified Industries,"Industrial Products and Services,Energy Services"
TSX,Altus Group Limited,AIF,1149881616,Canada,ON,Diversified Industries,Industrial Products and Services
TSX,Amaya Inc.,AYA,2841915269,Canada,QC,Technology,Software
TSX,ARC Resources Ltd.,ARX,8296625998,Canada,AB,Oil & Gas,
TSX,Artis Real Estate Investment Trust,AX.UN,2102375205,Canada,MB,Real Estate,Diversified
TSX,Atco Ltd.,ACO.X,4905533105.4,Canada,AB,Utilities & Pipelines,
TSX,B2Gold Corp.,BTO,3106164864,Canada,BC,Mining,
TSX,Badger Daylighting Ltd.,BAD,1159396281,Canada,AB,Diversified Industries,"Industrial Products and Services,Energy Services"
TSX,Bank of Montreal,BMO,60044487297.75,Canada,ON,Financial Services,
TSX,Bank of Nova Scotia (The),BNS,93062755870.04,Canada,ON,Financial Services,
TSX,Barrick Gold Corporation,ABX,23483433441,Canada,ON,Mining,
TSX,Baytex Energy Corp.,BTE,1213717087,Canada,AB,Oil & Gas,
TSX,BCE Inc.,BCE,52824989207.7,Canada,QC,Comm & Media,
TSX,Birchcliff Energy Ltd.,BIR,2488189637,Canada,AB,Oil & Gas,
TSX,BlackBerry Limited,BB,5446127187,Canada,ON,Technology,Communication Technology
TSX,BMO Aggregate Bond Index ETF,ZAG,2123614296,Canada,ON,ETP,
